S.NO,Question,Option 1,Option 2,Option 3,Option 4,Answer,
,"dsa","sd","sd","asd","asd","sad",
,"what is your age ?","10","20","30","40","30",
,"Question 2","a","f","g","fds","g",
,"Qsej","ijf","ojw","oijsf","iojfs","joisj",
,"Question for concept 2","a","b","c","d","c",
,"How r u?nm, mnm,nm","a","b","c","d","a",
,"Question 2 for concept 2","a","b","c","d","c",
,"kjdkjfkdfdj","dkfdkl","fkldkfjd","kdfkldf","kldkfjaj'd","kldfkdk'",
,"Question abc","otpion 1","option2 ","optijon4 ","option 5","option 1",
,"how are u?","kdf","dfkjd;","kladkfjk","fyn","fyn",
